key;dep;nomdep;codecommune;nomcommune
01310;01;AIN;01310;PRÉMEYZEL
01311;01;AIN;01311;PRÉMILLIEU
01313;01;AIN;01313;PRÉVESSIN-MOËNS
01314;01;AIN;01314;PRIAY
01317;01;AIN;01317;RAMASSE
01318;01;AIN;01318;RANCÉ
01319;01;AIN;01319;RELEVANT
01320;01;AIN;01320;REPLONGES
01321;01;AIN;01321;REVONNAS
01322;01;AIN;01322;REYRIEUX
01323;01;AIN;01323;REYSSOUZE
01325;01;AIN;01325;RIGNIEUX-LE-FRANC
01328;01;AIN;01328;ROMANS
01329;01;AIN;01329;ROSSILLON
01330;01;AIN;01330;RUFFIEU
01331;01;AIN;01331;SAINT-ALBAN
01332;01;AIN;01332;SAINT-ANDRÉ-DE-BÂGÉ
01333;01;AIN;01333;SAINT-ANDRÉ-DE-CORCY
01334;01;AIN;01334;SAINT-ANDRÉ-D'HUIRIAT
01335;01;AIN;01335;SAINT-ANDRÉ-LE-BOUCHOUX
01336;01;AIN;01336;SAINT-ANDRÉ-SUR-VIEUX-JONC
01337;01;AIN;01337;SAINT-BÉNIGNE
01338;01;AIN;01338;GROSLÉE-SAINT-BENOÎT
01339;01;AIN;01339;SAINT-BERNARD
01342;01;AIN;01342;SAINTE-CROIX
01343;01;AIN;01343;SAINT-CYR-SUR-MENTHON
01344;01;AIN;01344;SAINT-DENIS-LÈS-BOURG
01345;01;AIN;01345;SAINT-DENIS-EN-BUGEY
01346;01;AIN;01346;SAINT-DIDIER-D'AUSSIAT
01347;01;AIN;01347;SAINT-DIDIER-DE-FORMANS
01348;01;AIN;01348;SAINT-DIDIER-SUR-CHALARONNE
01349;01;AIN;01349;SAINT-ELOI
01350;01;AIN;01350;SAINT-ETIENNE-DU-BOIS
01351;01;AIN;01351;SAINT-ETIENNE-SUR-CHALARONNE
01352;01;AIN;01352;SAINT-ETIENNE-SUR-REYSSOUZE
01353;01;AIN;01353;SAINTE-EUPHÉMIE
01354;01;AIN;01354;SAINT-GENIS-POUILLY
01355;01;AIN;01355;SAINT-GENIS-SUR-MENTHON
01356;01;AIN;01356;SAINT-GEORGES-SUR-RENON
