codecommune;dep;nomcommune;nomdep;REV_revmoyfoy1992;REV_revmoyfoy2002;REV_revmoyfoy2012;REV_revmoyfoy2022;DBL_bug
01239;01;MASSIGNIEU-DE-RIVES;AIN;26632.12834567797;31659.135;34267.805;33709.188;0
01240;01;MATAFELON-GRANGES;AIN;26739.81218420878;28495.566;33356.809;32469.395;0
01241;01;MEILLONNAS;AIN;31626.7119817901;35188.578;39085.813;40112.582;0
01242;01;MERIGNAT;AIN;19333.17335441702;21677.285;22624.74;24665.754;0
01243;01;MESSIMY;AIN;33089.70523996362;35897.789;40491.992;45635.293;0
01244;01;MEXIMIEUX;AIN;26072.98864765072;27767.559;31981.326;33382.168;0
01245;01;BOHAS-MEYRIAT-RIGNAT;AIN;24081.62250245874;27471.096;34054.84;34060.324;0
01246;01;MEZERIAT;AIN;23828.58117926393;27475.828;29829.002;31616.617;0
01247;01;MIJOUX;AIN;31296.75363107328;30429.975;42335.973;51204.988;0
01248;01;MIONNAY;AIN;36793.96649601283;40717.297;45567.316;47250.402;0
01249;01;MIRIBEL;AIN;27441.48384344006;30324.439;34352.551;37161.043;0
01250;01;MISERIEUX;AIN;31885.4043519049;36094.211;42529.543;44060.488;0
01252;01;MOGNENEINS;AIN;26276.11238971901;31572.762;35859.832;37595.824;0
01254;01;MONTAGNAT;AIN;39668.46569597779;42476.109;48914.434;48158.398;0
01255;01;MONTAGNIEU;AIN;29251.70254014146;28638.783;29787.77;30142.32;0
01257;01;MONTANGES;AIN;21502.23353053737;28808.93;40426.293;38126.895;0
01258;01;MONTCEAUX;AIN;28797.10721013389;34290.219;38998.258;40656.043;0
01259;01;MONTCET;AIN;23870.33613706158;29712.52;36404.227;38213.766;0
01260;01;MONTELLIER;AIN;35554.18959117866;48407.051;47175.75;45480.066;0
01261;01;MONTHIEUX;AIN;32140.01541035526;37190.016;40489.273;41835.383;0
01262;01;MONTLUEL;AIN;25237.57554464649;26497.758;30291.355;33008.012;0
01263;01;MONTMERLE-SUR-SAONE;AIN;27980.53093019628;34662.863;35800.465;36882.645;0
01264;01;MONTRACOL;AIN;29179.80866543722;30291.555;34116.113;35833.813;0
01265;01;MONTREAL-LA-CLUSE;AIN;25339.92228330841;27398.842;27637.434;27599.289;0
01266;01;MONTREVEL-EN-BRESSE;AIN;24106.42431949645;28112.563;27168.18;27478.602;0
01267;01;NURIEUX-VOLOGNAT;AIN;27566.12082273081;29448.896;33709.355;34613.277;0
01268;01;MURS-ET-GELIGNEUX;AIN;20772.30663670616;23864.219;32441.4;33762.23;0
01269;01;NANTUA;AIN;24629.14615959492;25979.959;24835.771;24928.676;0
01272;01;NEUVILLE-LES-DAMES;AIN;21696.25280812347;26640.951;30146.658;30563.268;0
01273;01;NEUVILLE-SUR-AIN;AIN;27302.40529979825;27195.41;30928.303;30633.172;0
01274;01;NEYROLLES;AIN;24997.71999759829;26402.811;26932.889;28171.471;0
01275;01;NEYRON;AIN;39773.6379580997;45543.031;53910.754;56360.367;0
