dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01117;CONZIEU;AIN;70.402382;72.080803;104.17793;94.042877;0
01;01118;CORBONOD;AIN;703.58051;737.27502;868.88007;951.94702;0
01;01121;CORLIER;AIN;60.606907;56.731274;91.498566;89.343361;0
01;01123;CORMORANCHE-SUR-SAONE;AIN;610.77728;679.36877;802.35114;895.2345;0
01;01124;CORMOZ;AIN;425.66351;423.55655;541.25195;541.05127;0
01;01125;CORVEISSIAT;AIN;343.35858;359.17258;434.24393;437.90912;0
01;01127;COURMANGOUX;AIN;255.5563;298.14731;398.8252;369.05991;0
01;01128;COURTES;AIN;165.73433;163.27625;216.97916;238.86842;0
01;01129;CRANS;AIN;154.36157;191.63426;184.56902;219.01671;0
01;01130;CRAS-SUR-REYSSOUZE;AIN;963.2085;1252.9755;1469.24;1728.8954;0
01;01133;CRESSIN-ROCHEFORT;AIN;209.60907;233.69536;267.20795;372.69275;0
01;01134;CROTTET;AIN;924.71509;1109.4709;1277.0415;1321.9412;0
01;01135;CROZET;AIN;713.63269;862.08765;1052.1714;1231.5447;0
01;01136;CRUZILLES-LES-MEPILLAT;AIN;412.39572;496.16531;596.23041;764.3443;0
01;01138;CULOZ;AIN;1693.0781;1824.2277;1943.9231;1929.8934;0
01;01139;CURCIAT-DONGALON;AIN;341.90219;335.01392;320.99634;313.02753;0
01;01140;CURTAFOND;AIN;347.82928;436.32056;552.19153;622.44598;0
01;01141;CUZIEU;AIN;204.57298;263.85925;292.80258;321.26532;0
01;01142;DAGNEUX;AIN;2092.2314;2615.6897;2895.8196;3700.6113;0
01;01143;DIVONNE-LES-BAINS;AIN;3868.0652;4371.0156;5202.1387;6221.3525;0
01;01145;DOMPIERRE-SUR-VEYLE;AIN;634.89105;781.15204;902.53107;989.9101;0
01;01146;DOMPIERRE-SUR-CHALARONNE;AIN;195.77455;232.15308;271.96573;356.47629;0
01;01147;DOMSURE;AIN;326.4837;333.20691;349.76984;344.59634;0
